,Date,Event,Race_Type,Finish,Start,Driver,Rookie
1431,2019-08-02, ,SK Modified Feature,4,4,"Michael Christopher, Jr.",
1430,2019-08-02, ,SK Modified Feature,3,8,Eric Berndt,
1429,2019-08-02, ,SK Modified Feature,2,11,Glen Reen,
1428,2019-08-02, ,SK Modified Feature,1,12,Keith Rocco,
1434,2019-08-02, ,SK Modified Feature,7,13,Todd Owen,
1468,2019-07-26, ,SK Modified Feature,23,12,Keith Rocco,
1459,2019-07-26, ,SK Modified Feature,14,23,Tyler Jones,R
1460,2019-07-26, ,SK Modified Feature,15,4,Tyler Hines,
1461,2019-07-26, ,SK Modified Feature,16,17,David Arute,
1462,2019-07-26, ,SK Modified Feature,17,7,Matt Galko,
1466,2019-07-26, ,SK Modified Feature,21,21,"Tony Membrino, Jr.",
1463,2019-07-26, ,SK Modified Feature,18,8,Andrew Molleur,R
1464,2019-07-26, ,SK Modified Feature,19,8,Marcello Rufrano,R
1465,2019-07-26, ,SK Modified Feature,20,3,Troy Talman,
1467,2019-07-26, ,SK Modified Feature,22,19,John Catania,
1457,2019-07-26, ,SK Modified Feature,12,14,Tyler Leary,R
1458,2019-07-26, ,SK Modified Feature,13,18,Ed Spiers,
1451,2019-07-26, ,SK Modified Feature,6,1,"Michael Christopher, Jr.",
1456,2019-07-26, ,SK Modified Feature,11,6,"Joey Cipriano, III",
1449,2019-07-26, ,SK Modified Feature,4,2,Cory DiMatteo,
1455,2019-07-26, ,SK Modified Feature,10,11,Stephen Kopcik,
1446,2019-07-26, ,SK Modified Feature,1,10,Todd Owen,
1447,2019-07-26, ,SK Modified Feature,2,13,Ronnie Williams,
1448,2019-07-26, ,SK Modified Feature,3,16,Glen Reen,
1450,2019-07-26, ,SK Modified Feature,5,20,Dan Wesson,
1452,2019-07-26, ,SK Modified Feature,7,9,"Michael Gervais, Jr.",
1453,2019-07-26, ,SK Modified Feature,8,22,Eric Berndt,
1454,2019-07-26, ,SK Modified Feature,9,15,Kyle James,R
1480,2019-07-19, ,SK Modified Feature,12,20,Ed Spiers,
1491,2019-07-19, ,SK Modified Feature,23,10,"Joey Cipriano, III",
1489,2019-07-19, ,SK Modified Feature,21,21,Matt Vassar,
1488,2019-07-19, ,SK Modified Feature,20,9,"Tony Membrino, Jr.",
1487,2019-07-19, ,SK Modified Feature,19,6,David Arute,
1486,2019-07-19, ,SK Modified Feature,18,16,Tyler Jones,R
1485,2019-07-19, ,SK Modified Feature,17,23,Justin Albernaz,R
1484,2019-07-19, ,SK Modified Feature,16,7,Eric Berndt,
1483,2019-07-19, ,SK Modified Feature,15,8,Andrew Molleur,R
1482,2019-07-19, ,SK Modified Feature,14,3,Cory DiMatteo,
1481,2019-07-19, ,SK Modified Feature,13,22,Tyler Hines,
1490,2019-07-19, ,SK Modified Feature,22,1,"Michael Christopher, Jr.",
1479,2019-07-19, ,SK Modified Feature,11,11,Glen Reen,
1478,2019-07-19, ,SK Modified Feature,10,2,Troy Talman,
1472,2019-07-19, ,SK Modified Feature,4,15,Dan Wesson,
1477,2019-07-19, ,SK Modified Feature,9,18,Matt Galko,
1470,2019-07-19, ,SK Modified Feature,2,17,Stephen Kopcik,
1471,2019-07-19, ,SK Modified Feature,3,5,"Michael Gervais, Jr.",
1469,2019-07-19, ,SK Modified Feature,1,13,Ronnie Williams,
1473,2019-07-19, ,SK Modified Feature,5,19,Keith Rocco,
1474,2019-07-19, ,SK Modified Feature,6,4,Marcello Rufrano,R
1475,2019-07-19, ,SK Modified Feature,7,12,Todd Owen,
1476,2019-07-19, ,SK Modified Feature,8,14,Tyler Leary,R
1521,2019-07-12, ,SK Modified Feature,17,3,Matt Galko,
1513,2019-07-12, ,SK Modified Feature,9,25,Kyle James,R
1514,2019-07-12, ,SK Modified Feature,10,20,Dan Wesson,
1515,2019-07-12, ,SK Modified Feature,11,18,"Tony Membrino, Jr.",
1516,2019-07-12, ,SK Modified Feature,12,23,"Joey Ternullo, Jr.",
1517,2019-07-12, ,SK Modified Feature,13,5,David Arute,
1518,2019-07-12, ,SK Modified Feature,14,9,"Michael Gervais, Jr.",
1519,2019-07-12, ,SK Modified Feature,15,19,Tyler Leary,
1520,2019-07-12, ,SK Modified Feature,16,22,Dan Avery,
1526,2019-07-12, ,SK Modified Feature,22,1,Nick Salva,
1522,2019-07-12, ,SK Modified Feature,18,6,Tyler Hines,
1523,2019-07-12, ,SK Modified Feature,19,4,Marcello Rufrano,R
1524,2019-07-12, ,SK Modified Feature,20,24,Tyler Jones,R
1525,2019-07-12, ,SK Modified Feature,21,21,Ed Spiers,
1527,2019-07-12, ,SK Modified Feature,23,17,Troy Talman,
1528,2019-07-12, ,SK Modified Feature,24,16,Cory DiMatteo,
1529,2019-07-12, ,SK Modified Feature,25,2,"Michael Christopher, Jr.",
1530,2019-07-12, ,SK Modified Feature,26,26,"Doug Meservey, Jr.",
1512,2019-07-12, ,SK Modified Feature,8,7,Andrew Molleur,R
1511,2019-07-12, ,SK Modified Feature,7,8,Eric Berndt,
1510,2019-07-12, ,SK Modified Feature,6,11,"Joey Cipriano, III",
1500,2019-07-12, TC 13 Shootout ,SK Modified Feature,9,11,"Tony Membrino, Jr.",
1492,2019-07-12, TC 13 Shootout ,SK Modified Feature,1,6,Keith Rocco,
1493,2019-07-12, TC 13 Shootout ,SK Modified Feature,2,4,Todd Owen,
1494,2019-07-12, TC 13 Shootout ,SK Modified Feature,3,7,Stephen Kopcik,
1509,2019-07-12, ,SK Modified Feature,5,12,Glen Reen,
1496,2019-07-12, TC 13 Shootout ,SK Modified Feature,5,1,Eric Berndt,
1497,2019-07-12, TC 13 Shootout ,SK Modified Feature,6,5,Ronnie Williams,
1498,2019-07-12, TC 13 Shootout ,SK Modified Feature,7,8,Andrew Molleur,R
1499,2019-07-12, TC 13 Shootout ,SK Modified Feature,8,3,Glen Reen,
1495,2019-07-12, TC 13 Shootout ,SK Modified Feature,4,2,"Joey Cipriano, III",
1501,2019-07-12, TC 13 Shootout ,SK Modified Feature,10,10,Dan Wesson,
1503,2019-07-12, TC 13 Shootout ,SK Modified Feature,12,12,"Joey Ternullo, Jr.",
1504,2019-07-12, TC 13 Shootout ,SK Modified Feature,13,9,Kyle James,
1505,2019-07-12, ,SK Modified Feature,1,10,Stephen Kopcik,
1506,2019-07-12, ,SK Modified Feature,2,14,Keith Rocco,
1507,2019-07-12, ,SK Modified Feature,3,15,Ronnie Williams,
1508,2019-07-12, ,SK Modified Feature,4,13,Todd Owen,
1502,2019-07-12, TC 13 Shootout ,SK Modified Feature,11,13,David Arute,
1535,2019-07-05, ,SK Modified Feature,5,8,"Michael Gervais, Jr.",
1539,2019-07-05, ,SK Modified Feature,9,7,Matt Galko,
1538,2019-07-05, ,SK Modified Feature,8,3,Tyler Hines,
1537,2019-07-05, ,SK Modified Feature,7,5,Eric Berndt,
1536,2019-07-05, ,SK Modified Feature,6,15,"Tony Membrino, Jr.",
1531,2019-07-05, ,SK Modified Feature,1,11,Keith Rocco,
1534,2019-07-05, ,SK Modified Feature,4,13,Todd Owen,
1533,2019-07-05, ,SK Modified Feature,3,9,Glen Reen,
1532,2019-07-05, ,SK Modified Feature,2,12,Ronnie Williams,
1541,2019-07-05, ,SK Modified Feature,11,6,Stephen Kopcik,
1540,2019-07-05, ,SK Modified Feature,10,16,David Arute,
1551,2019-07-05, ,SK Modified Feature,21,22,Tyler Jones,R
1542,2019-07-05, ,SK Modified Feature,12,4,Marcello Rufrano,R
1549,2019-07-05, ,SK Modified Feature,19,21,John Montesanto,
1554,2019-07-05, ,SK Modified Feature,24,24,Matt Vassar,
1553,2019-07-05, ,SK Modified Feature,23,14,Dan Wesson,
1552,2019-07-05, ,SK Modified Feature,22,23,John Catania,
1543,2019-07-05, ,SK Modified Feature,13,17,Andrew Molleur,R
1550,2019-07-05, ,SK Modified Feature,20,19,Nick Salva,
1555,2019-07-05, ,SK Modified Feature,25,20,Mike Christopher,
1548,2019-07-05, ,SK Modified Feature,18,18,Tyler Leary,R
1546,2019-07-05, ,SK Modified Feature,16,2,Cory DiMatteo,
1545,2019-07-05, ,SK Modified Feature,15,10,"Michael Christopher, Jr.",
1544,2019-07-05, ,SK Modified Feature,14,1,Troy Talman,
1547,2019-07-05, ,SK Modified Feature,17,25,"Joey Cipriano, III",
1576,2019-06-28, NAPA Auto Parts ,SK Modified Feature,21,9,"Michael Christopher, Jr.",
1571,2019-06-28, NAPA Auto Parts ,SK Modified Feature,16,7,"Michael Gervais, Jr.",
1572,2019-06-28, NAPA Auto Parts ,SK Modified Feature,17,6,Troy Talman,
1573,2019-06-28, NAPA Auto Parts ,SK Modified Feature,18,22,Nick Salva,
1574,2019-06-28, NAPA Auto Parts ,SK Modified Feature,19,18,Matt Galko,
1575,2019-06-28, NAPA Auto Parts ,SK Modified Feature,20,23,Kenny Horton,
1579,2019-06-28, NAPA Auto Parts ,SK Modified Feature,24,16,Glen Reen,
1577,2019-06-28, NAPA Auto Parts ,SK Modified Feature,22,19,Dan Avery,
1578,2019-06-28, NAPA Auto Parts ,SK Modified Feature,23,13,Matt Vassar,
1580,2019-06-28, NAPA Auto Parts ,SK Modified Feature,25,11,Eric Berndt,
1581,2019-06-28, NAPA Auto Parts ,SK Modified Feature,26,20,Stephen Kopcik,
1582,2019-06-28, NAPA Auto Parts ,SK Modified Feature,27,24,John Studley,R
1569,2019-06-28, NAPA Auto Parts ,SK Modified Feature,14,5,Cory DiMatteo,
1570,2019-06-28, NAPA Auto Parts ,SK Modified Feature,15,26,Tom Bolles,
1568,2019-06-28, NAPA Auto Parts ,SK Modified Feature,13,15,Dan Wesson,
1556,2019-06-28, NAPA Auto Parts ,SK Modified Feature,1,8,Ronnie Williams,
1561,2019-06-28, NAPA Auto Parts ,SK Modified Feature,6,1,Marcello Rufrano,R
1567,2019-06-28, NAPA Auto Parts ,SK Modified Feature,12,14,Tyler Leary,R
1557,2019-06-28, NAPA Auto Parts ,SK Modified Feature,2,10,Keith Rocco,
1558,2019-06-28, NAPA Auto Parts ,SK Modified Feature,3,21,Chase Dowling,
1560,2019-06-28, NAPA Auto Parts ,SK Modified Feature,5,27,Andrew Molleur,R
1559,2019-06-28, NAPA Auto Parts ,SK Modified Feature,4,4,"Joey Cipriano, III",
1562,2019-06-28, NAPA Auto Parts ,SK Modified Feature,7,3,David Arute,
1563,2019-06-28, NAPA Auto Parts ,SK Modified Feature,8,12,"Tony Membrino, Jr.",
1564,2019-06-28, NAPA Auto Parts ,SK Modified Feature,9,17,Todd Owen,
1565,2019-06-28, NAPA Auto Parts ,SK Modified Feature,10,2,Tyler Hines,
1566,2019-06-28, NAPA Auto Parts ,SK Modified Feature,11,25,Ed Spiers,
1603,2019-06-21, Casagrande Builders 30 ,SK Modified Feature,21,15,Matt Vassar,
1598,2019-06-21, Casagrande Builders 30 ,SK Modified Feature,16,14,Dan Wesson,
1599,2019-06-21, Casagrande Builders 30 ,SK Modified Feature,17,3,Tyler Hines,
1600,2019-06-21, Casagrande Builders 30 ,SK Modified Feature,18,6,D.J. Burnham,
1601,2019-06-21, Casagrande Builders 30 ,SK Modified Feature,19,22,Tom Bolles,
1602,2019-06-21, Casagrande Builders 30 ,SK Modified Feature,20,24,Troy Talman,
1596,2019-06-21, Casagrande Builders 30 ,SK Modified Feature,14,23,Ed Spiers,
1604,2019-06-21, Casagrande Builders 30 ,SK Modified Feature,22,21,"Tony Membrino, Jr.",
1605,2019-06-21, Casagrande Builders 30 ,SK Modified Feature,23,26,Max Zachem,
1606,2019-06-21, Casagrande Builders 30 ,SK Modified Feature,24,25,"Joey Ternullo, Jr.",R
1607,2019-06-21, Casagrande Builders 30 ,SK Modified Feature,25,18,Marcello Rufrano,R
1608,2019-06-21, Casagrande Builders 30 ,SK Modified Feature,26,20,David Arute,
1597,2019-06-21, Casagrande Builders 30 ,SK Modified Feature,15,4,Nick Salva,
1595,2019-06-21, Casagrande Builders 30 ,SK Modified Feature,13,13,Tyler Leary,
1586,2019-06-21, Casagrande Builders 30 ,SK Modified Feature,4,1,Stephen Kopcik,
1593,2019-06-21, Casagrande Builders 30 ,SK Modified Feature,11,19,Cory DiMatteo,
1592,2019-06-21, Casagrande Builders 30 ,SK Modified Feature,10,2,"Joey Cipriano, III",
1591,2019-06-21, Casagrande Builders 30 ,SK Modified Feature,9,16,Matt Galko,
1590,2019-06-21, Casagrande Builders 30 ,SK Modified Feature,8,10,"Michael Gervais, Jr.",
1589,2019-06-21, Casagrande Builders 30 ,SK Modified Feature,7,11,Keith Rocco,
1588,2019-06-21, Casagrande Builders 30 ,SK Modified Feature,6,8,"Michael Christopher, Jr.",
1587,2019-06-21, Casagrande Builders 30 ,SK Modified Feature,5,17,Eric Berndt,
1585,2019-06-21, Casagrande Builders 30 ,SK Modified Feature,3,5,Ronnie Williams,
1584,2019-06-21, Casagrande Builders 30 ,SK Modified Feature,2,7,Glen Reen,
1583,2019-06-21, Casagrande Builders 30 ,SK Modified Feature,1,12,Todd Owen,
1594,2019-06-21, Casagrande Builders 30 ,SK Modified Feature,12,9,Andrew Molleur,R
1625,2019-06-14, Twisted Tea Open 80 ,SK Modified Feature,17,3,Marcello Rufrano,R
1627,2019-06-14, Twisted Tea Open 80 ,SK Modified Feature,19,2,Stephen Kopcik,
1626,2019-06-14, Twisted Tea Open 80 ,SK Modified Feature,18,17,D.J. Burnham,
1622,2019-06-14, Twisted Tea Open 80 ,SK Modified Feature,14,10,"Joey Cipriano, III",
1624,2019-06-14, Twisted Tea Open 80 ,SK Modified Feature,16,19,Matt Vassar,
1629,2019-06-14, Twisted Tea Open 80 ,SK Modified Feature,21,22,Dan Wesson,
1628,2019-06-14, Twisted Tea Open 80 ,SK Modified Feature,20,25,"Tony Membrino, Jr.",
1635,2019-06-14, Twisted Tea Open 80 ,SK Modified Feature,27,24,Tom Bolles,
1630,2019-06-14, Twisted Tea Open 80 ,SK Modified Feature,22,4,Tyler Hines,
1631,2019-06-14, Twisted Tea Open 80 ,SK Modified Feature,23,23,Tyler Leary,R
1632,2019-06-14, Twisted Tea Open 80 ,SK Modified Feature,24,26,John Catania,
1633,2019-06-14, Twisted Tea Open 80 ,SK Modified Feature,25,6,Troy Talman,
1634,2019-06-14, Twisted Tea Open 80 ,SK Modified Feature,26,16,Cory DiMatteo,
1623,2019-06-14, Twisted Tea Open 80 ,SK Modified Feature,15,11,Andrew Molleur,R
1618,2019-06-14, Twisted Tea Open 80 ,SK Modified Feature,10,15,Eric Berndt,
1621,2019-06-14, Twisted Tea Open 80 ,SK Modified Feature,13,27,Frank Ruocco,
1614,2019-06-14, Twisted Tea Open 80 ,SK Modified Feature,6,7,Nick Salva,
1609,2019-06-14, Twisted Tea Open 80 ,SK Modified Feature,1,9,Todd Owen,
1610,2019-06-14, Twisted Tea Open 80 ,SK Modified Feature,2,1,"Michael Christopher, Jr.",
1611,2019-06-14, Twisted Tea Open 80 ,SK Modified Feature,3,14,Keith Rocco,
1620,2019-06-14, Twisted Tea Open 80 ,SK Modified Feature,12,8,Glen Reen,
1613,2019-06-14, Twisted Tea Open 80 ,SK Modified Feature,5,5,Matt Galko,
1612,2019-06-14, Twisted Tea Open 80 ,SK Modified Feature,4,12,"Michael Gervais, Jr.",
1615,2019-06-14, Twisted Tea Open 80 ,SK Modified Feature,7,18,David Arute,
1616,2019-06-14, Twisted Tea Open 80 ,SK Modified Feature,8,20,Chase Dowling,
1617,2019-06-14, Twisted Tea Open 80 ,SK Modified Feature,9,13,Ronnie Williams,
1619,2019-06-14, Twisted Tea Open 80 ,SK Modified Feature,11,21,Dylan Izzo,
1656,2019-06-07, Whelen Event Night ,SK Modified Feature,21,8,Stephen Kopcik,
1651,2019-06-07, Whelen Event Night ,SK Modified Feature,16,23,Matt Vassar,
1652,2019-06-07, Whelen Event Night ,SK Modified Feature,17,19,Tom Bolles,
1653,2019-06-07, Whelen Event Night ,SK Modified Feature,18,22,John Catania,
1654,2019-06-07, Whelen Event Night ,SK Modified Feature,19,26,Joey Ternullo,R
1655,2019-06-07, Whelen Event Night ,SK Modified Feature,20,15,Jeff Malave,
1649,2019-06-07, Whelen Event Night ,SK Modified Feature,14,18,Tyler Leary,R
1657,2019-06-07, Whelen Event Night ,SK Modified Feature,22,27,"Michael Christopher, Jr.",
1658,2019-06-07, Whelen Event Night ,SK Modified Feature,23,3,David Arute,
1659,2019-06-07, Whelen Event Night ,SK Modified Feature,24,5,Marcello Rufrano,R
1660,2019-06-07, Whelen Event Night ,SK Modified Feature,25,10,Nick Salva,
1661,2019-06-07, Whelen Event Night ,SK Modified Feature,26,21,Andrew Molleur,R
1650,2019-06-07, Whelen Event Night ,SK Modified Feature,15,14,"Tony Membrino, Jr.",
1662,2019-06-07, Whelen Event Night ,SK Modified Feature,27,20,Darin Renihan,
1648,2019-06-07, Whelen Event Night ,SK Modified Feature,13,6,Tyler Hines,
1641,2019-06-07, Whelen Event Night ,SK Modified Feature,6,17,Todd Owen,
1636,2019-06-07, Whelen Event Night ,SK Modified Feature,1,7,Eric Berndt,
1637,2019-06-07, Whelen Event Night ,SK Modified Feature,2,9,Keith Rocco,
1638,2019-06-07, Whelen Event Night ,SK Modified Feature,3,13,Glen Reen,
1639,2019-06-07, Whelen Event Night ,SK Modified Feature,4,1,Troy Talman,
1640,2019-06-07, Whelen Event Night ,SK Modified Feature,5,2,Cory DiMatteo,
1647,2019-06-07, Whelen Event Night ,SK Modified Feature,12,16,Dan Wesson,
1642,2019-06-07, Whelen Event Night ,SK Modified Feature,7,25,Ronnie Williams,
1644,2019-06-07, Whelen Event Night ,SK Modified Feature,9,11,"Joey Cipriano, III",
1645,2019-06-07, Whelen Event Night ,SK Modified Feature,10,24,D.J. Burnham,
1646,2019-06-07, Whelen Event Night ,SK Modified Feature,11,4,Matt Galko,
1643,2019-06-07, Whelen Event Night ,SK Modified Feature,8,12,"Michael Gervais, Jr.",
1683,2019-05-31, Military Appreciation Night ,SK Modified Feature,21,23,Tyler Leary,R
1678,2019-05-31, Military Appreciation Night ,SK Modified Feature,16,25,John Catania,
1679,2019-05-31, Military Appreciation Night ,SK Modified Feature,17,10,"Michael Christopher, Jr.",
1680,2019-05-31, Military Appreciation Night ,SK Modified Feature,18,13,Ronnie Williams,
1681,2019-05-31, Military Appreciation Night ,SK Modified Feature,19,7,Stephen Kopcik,
1682,2019-05-31, Military Appreciation Night ,SK Modified Feature,20,26,Nick Salva,
1685,2019-05-31, Military Appreciation Night ,SK Modified Feature,23,19,"Tony Membrino, Jr.",
1684,2019-05-31, Military Appreciation Night ,SK Modified Feature,22,21,Dan Wesson,
1686,2019-05-31, Military Appreciation Night ,SK Modified Feature,24,22,Michael Rutkoski,R
1687,2019-05-31, Military Appreciation Night ,SK Modified Feature,25,15,Tom Bolles,
1688,2019-05-31, Military Appreciation Night ,SK Modified Feature,26,8,"Joey Cipriano, III",
1676,2019-05-31, Military Appreciation Night ,SK Modified Feature,14,3,Cory DiMatteo,
1677,2019-05-31, Military Appreciation Night ,SK Modified Feature,15,24,Eric Berndt,
1675,2019-05-31, Military Appreciation Night ,SK Modified Feature,13,14,Jeff Malave,
1663,2019-05-31, Military Appreciation Night ,SK Modified Feature,1,2,Andrew Molleur,R
1668,2019-05-31, Military Appreciation Night ,SK Modified Feature,6,17,D.J. Burnham,
1674,2019-05-31, Military Appreciation Night ,SK Modified Feature,12,12,Glen Reen,
1664,2019-05-31, Military Appreciation Night ,SK Modified Feature,2,9,"Michael Gervais, Jr.",
1665,2019-05-31, Military Appreciation Night ,SK Modified Feature,3,11,Todd Owen,
1667,2019-05-31, Military Appreciation Night ,SK Modified Feature,5,16,Matt Vassar,
1666,2019-05-31, Military Appreciation Night ,SK Modified Feature,4,5,Keith Rocco,
1669,2019-05-31, Military Appreciation Night ,SK Modified Feature,7,4,Matt Galko,
1670,2019-05-31, Military Appreciation Night ,SK Modified Feature,8,6,Tyler Hines,
1671,2019-05-31, Military Appreciation Night ,SK Modified Feature,9,20,Marcello Rufrano,R
1672,2019-05-31, Military Appreciation Night ,SK Modified Feature,10,18,David Arute,
1673,2019-05-31, Military Appreciation Night ,SK Modified Feature,11,1,Troy Talman,
1709,2019-05-24, Dunleavy’s Modifiedz Night / Open Mod 80 ,SK Modified Feature,21,6,Tyler Hines,
1704,2019-05-24, Dunleavy’s Modifiedz Night / Open Mod 80 ,SK Modified Feature,16,17,"Tony Membrino, Jr.",
1705,2019-05-24, Dunleavy’s Modifiedz Night / Open Mod 80 ,SK Modified Feature,17,24,D.J. Burnham,
1706,2019-05-24, Dunleavy’s Modifiedz Night / Open Mod 80 ,SK Modified Feature,18,18,Troy Talman,
1707,2019-05-24, Dunleavy’s Modifiedz Night / Open Mod 80 ,SK Modified Feature,19,23,Michael Rutkoski,
1708,2019-05-24, Dunleavy’s Modifiedz Night / Open Mod 80 ,SK Modified Feature,20,22,Jeff Malave,
1702,2019-05-24, Dunleavy’s Modifiedz Night / Open Mod 80 ,SK Modified Feature,14,27,Dan Wesson,
1710,2019-05-24, Dunleavy’s Modifiedz Night / Open Mod 80 ,SK Modified Feature,22,19,Tyler Leary,R
1711,2019-05-24, Dunleavy’s Modifiedz Night / Open Mod 80 ,SK Modified Feature,23,26,Matt Vassar,
1712,2019-05-24, Dunleavy’s Modifiedz Night / Open Mod 80 ,SK Modified Feature,24,20,Tom Bolles,
1713,2019-05-24, Dunleavy’s Modifiedz Night / Open Mod 80 ,SK Modified Feature,25,1,Ed Spiers,
1714,2019-05-24, Dunleavy’s Modifiedz Night / Open Mod 80 ,SK Modified Feature,26,21,John Catania,
1703,2019-05-24, Dunleavy’s Modifiedz Night / Open Mod 80 ,SK Modified Feature,15,2,Andrew Molleur,R
1715,2019-05-24, Dunleavy’s Modifiedz Night / Open Mod 80 ,SK Modified Feature,27,4,Matt Galko,
1701,2019-05-24, Dunleavy’s Modifiedz Night / Open Mod 80 ,SK Modified Feature,13,16,David Arute,
1694,2019-05-24, Dunleavy’s Modifiedz Night / Open Mod 80 ,SK Modified Feature,6,12,Keith Rocco,
1689,2019-05-24, Dunleavy’s Modifiedz Night / Open Mod 80 ,SK Modified Feature,1,7,Ronnie Williams,
1690,2019-05-24, Dunleavy’s Modifiedz Night / Open Mod 80 ,SK Modified Feature,2,5,"Joey Cipriano, III",
1691,2019-05-24, Dunleavy’s Modifiedz Night / Open Mod 80 ,SK Modified Feature,3,8,Nick Salva,
1692,2019-05-24, Dunleavy’s Modifiedz Night / Open Mod 80 ,SK Modified Feature,4,11,Eric Berndt,
1693,2019-05-24, Dunleavy’s Modifiedz Night / Open Mod 80 ,SK Modified Feature,5,15,"Michael Gervais, Jr.",
1700,2019-05-24, Dunleavy’s Modifiedz Night / Open Mod 80 ,SK Modified Feature,12,3,Marcello Rufrano,R
1695,2019-05-24, Dunleavy’s Modifiedz Night / Open Mod 80 ,SK Modified Feature,7,10,Glen Reen,
1697,2019-05-24, Dunleavy’s Modifiedz Night / Open Mod 80 ,SK Modified Feature,9,9,Stephen Kopcik,
1698,2019-05-24, Dunleavy’s Modifiedz Night / Open Mod 80 ,SK Modified Feature,10,14,"Michael Christopher, Jr.",
1699,2019-05-24, Dunleavy’s Modifiedz Night / Open Mod 80 ,SK Modified Feature,11,25,Cory DiMatteo,
1696,2019-05-24, Dunleavy’s Modifiedz Night / Open Mod 80 ,SK Modified Feature,8,13,Todd Owen,
1736,2019-05-17, BFF Friday / Scout Night ,SK Modified Feature,21,18,Troy Talman,
1731,2019-05-17, BFF Friday / Scout Night ,SK Modified Feature,16,15,Andrew Molleur,R
1732,2019-05-17, BFF Friday / Scout Night ,SK Modified Feature,17,12,Eric Berndt,
1733,2019-05-17, BFF Friday / Scout Night ,SK Modified Feature,18,8,"Joey Cipriano, III",
1734,2019-05-17, BFF Friday / Scout Night ,SK Modified Feature,19,21,Jeff Malave,
1735,2019-05-17, BFF Friday / Scout Night ,SK Modified Feature,20,22,Cory DiMatteo,
1738,2019-05-17, BFF Friday / Scout Night ,SK Modified Feature,23,19,John Catania,
1737,2019-05-17, BFF Friday / Scout Night ,SK Modified Feature,22,17,Ed Spiers,
1739,2019-05-17, BFF Friday / Scout Night ,SK Modified Feature,24,1,David Arute,
1740,2019-05-17, BFF Friday / Scout Night ,SK Modified Feature,25,20,Matt Vassar,
1741,2019-05-17, BFF Friday / Scout Night ,SK Modified Feature,26,16,"Tony Membrino, Jr.",
1729,2019-05-17, BFF Friday / Scout Night ,SK Modified Feature,14,23,Tyler Leary,R
1730,2019-05-17, BFF Friday / Scout Night ,SK Modified Feature,15,5,Matt Galko,
1728,2019-05-17, BFF Friday / Scout Night ,SK Modified Feature,13,25,Michael Rutkoski,R
1719,2019-05-17, BFF Friday / Scout Night ,SK Modified Feature,4,10,Todd Owen,
1726,2019-05-17, BFF Friday / Scout Night ,SK Modified Feature,11,14,Marcello Rufrano,
1725,2019-05-17, BFF Friday / Scout Night ,SK Modified Feature,10,25,D.J. Burnham,
1724,2019-05-17, BFF Friday / Scout Night ,SK Modified Feature,9,7,Ronnie Williams,
1723,2019-05-17, BFF Friday / Scout Night ,SK Modified Feature,8,11,Keith Rocco,
1722,2019-05-17, BFF Friday / Scout Night ,SK Modified Feature,7,4,Tyler Hines,
1721,2019-05-17, BFF Friday / Scout Night ,SK Modified Feature,6,6,Nick Salva,
1720,2019-05-17, BFF Friday / Scout Night ,SK Modified Feature,5,13,"Michael Gervais, Jr.",
1718,2019-05-17, BFF Friday / Scout Night ,SK Modified Feature,3,3,Stephen Kopcik,
1717,2019-05-17, BFF Friday / Scout Night ,SK Modified Feature,2,9,"Michael Christopher, Jr.",
1716,2019-05-17, BFF Friday / Scout Night ,SK Modified Feature,1,2,Glen Reen,
1727,2019-05-17, BFF Friday / Scout Night ,SK Modified Feature,12,24,Tom Bolles,
1758,2019-05-11, NAPA Spring Sizzler ,SK Modified Feature,17,3,"Tony Membrino, Jr.",
1760,2019-05-11, NAPA Spring Sizzler ,SK Modified Feature,19,5,David Arute,
1759,2019-05-11, NAPA Spring Sizzler ,SK Modified Feature,18,27,Tyler Leary,R
1755,2019-05-11, NAPA Spring Sizzler ,SK Modified Feature,14,25,Matt Vassar,
1757,2019-05-11, NAPA Spring Sizzler ,SK Modified Feature,16,2,Ed Spiers,
1762,2019-05-11, NAPA Spring Sizzler ,SK Modified Feature,21,21,Jeff Malave,
1761,2019-05-11, NAPA Spring Sizzler ,SK Modified Feature,20,1,Troy Talman,
1768,2019-05-11, NAPA Spring Sizzler ,SK Modified Feature,27,24,Chris Jones,
1763,2019-05-11, NAPA Spring Sizzler ,SK Modified Feature,22,16,John Catania,
1764,2019-05-11, NAPA Spring Sizzler ,SK Modified Feature,23,26,Michael Rutkoski,R
1765,2019-05-11, NAPA Spring Sizzler ,SK Modified Feature,24,19,Cory DiMatteo,
1766,2019-05-11, NAPA Spring Sizzler ,SK Modified Feature,25,14,Keith Rocco,
1767,2019-05-11, NAPA Spring Sizzler ,SK Modified Feature,26,22,Tom Bolles,
1756,2019-05-11, NAPA Spring Sizzler ,SK Modified Feature,15,15,Andrew Molleur,R
1742,2019-05-11, NAPA Spring Sizzler ,SK Modified Feature,1,6,Eric Berndt,
1754,2019-05-11, NAPA Spring Sizzler ,SK Modified Feature,13,8,Stephen Kopcik,
1747,2019-05-11, NAPA Spring Sizzler ,SK Modified Feature,6,7,Matt Galko,
1753,2019-05-11, NAPA Spring Sizzler ,SK Modified Feature,12,11,"Joey Cipriano, III",
1743,2019-05-11, NAPA Spring Sizzler ,SK Modified Feature,2,10,Todd Owen,
1744,2019-05-11, NAPA Spring Sizzler ,SK Modified Feature,3,13,"Michael Gervais, Jr.",
1746,2019-05-11, NAPA Spring Sizzler ,SK Modified Feature,5,4,Tyler Hines,
